model,family,windowed,adaptive,seed,mu,T_final,MSE,rel_L2,final_train_loss,mean_phys_residual,train_time_s,params,MAE,max_err,RMSE,windows,omega_0,sigma,mapping_size
Original PINN,Vanilla,False,False,42,0.1,7.2097,7.092e-11,1.007e-05,1.15e-07,1.259e-07,88.9,3265,6.603e-06,1.834e-05,8.421e-06,1,,,
Original PINN,Vanilla,False,False,42,1.0,7.6628,4.781e-10,1.691e-05,5.636e-07,5.867e-07,209.3,3265,1.66e-05,5.51e-05,2.186e-05,1,,,
Original PINN,Vanilla,False,False,42,5.0,13.3541,0.1448,0.2488,0.003163,0.003121,206.3,3265,0.1648,1.983,0.3805,1,,,
Original PINN,Vanilla,False,False,42,10.0,21.9401,3.092,1.081,0.3702,0.258,210.8,3265,1.601,3.023,1.758,1,,,
Window PINN,Vanilla,True,False,42,0.1,7.2097,1.246e-09,4.22e-05,1.694e-08,5.644e-07,118.7,3265,2.963e-05,7.382e-05,3.53e-05,4,,,
Window PINN,Vanilla,True,False,42,1.0,7.6628,7.1e-09,6.516e-05,4.281e-07,7.578e-07,164.9,3265,7.053e-05,0.0001853,8.426e-05,4,,,
Window PINN,Vanilla,True,False,42,5.0,13.3541,1.056e-08,6.718e-05,5.495e-06,1.227e-06,269.1,3265,4.623e-05,0.0006182,0.0001028,7,,,
Window PINN,Vanilla,True,False,42,10.0,21.9401,2.396,0.9519,2.312e-07,3.084,416.7,3265,0.8769,3.504,1.548,11,,,
SIREN PINN,SIREN,True,False,42,0.1,7.2097,9.217e-10,3.63e-05,4.135e-08,2.118e-07,214.0,3265,2.632e-05,4.997e-05,3.036e-05,4,10.0,,
SIREN PINN,SIREN,True,False,42,1.0,7.6628,3.256e-10,1.396e-05,1.284e-07,3.5e-07,218.9,3265,1.438e-05,4.738e-05,1.804e-05,4,10.0,,
SIREN PINN,SIREN,True,False,42,5.0,13.3541,5.224e-08,0.0001494,1.708e-05,5.606e-06,455.0,3265,9.874e-05,0.001128,0.0002286,7,10.0,,
SIREN PINN,SIREN,True,False,42,10.0,21.9401,0.7678,0.5388,4.039,0.3905,659.8,3265,0.3632,2.851,0.8762,11,10.0,,
Fourier Feature PINN,Fourier,True,False,42,0.1,7.2097,1.186e-09,4.118e-05,7.219e-07,8.071e-07,227.9,5281,2.754e-05,7.058e-05,3.444e-05,4,,0.5,32.0
Fourier Feature PINN,Fourier,True,False,42,1.0,7.6628,2.115e-10,1.125e-05,1.596e-06,8.294e-07,249.8,5281,1.161e-05,3.556e-05,1.454e-05,4,,0.5,32.0
Fourier Feature PINN,Fourier,True,False,42,5.0,13.3541,6.886e-08,0.0001716,3.805e-06,2.699e-06,468.2,5281,0.0001256,0.001251,0.0002624,7,,0.5,32.0
Fourier Feature PINN,Fourier,True,False,42,10.0,21.9401,0.6321,0.4889,0.002205,0.5268,697.1,5281,0.291,2.967,0.7951,11,,0.5,32.0
Adaptive Window PINN,Vanilla,True,True,42,0.1,7.2097,4.394e-10,2.506e-05,2.23e-09,1.252e-08,266.7,3265,1.727e-05,3.935e-05,2.096e-05,10,,,
Adaptive Window PINN,Vanilla,True,True,42,1.0,7.6628,3.2e-10,1.383e-05,4.442e-08,9.235e-08,324.2,3265,1.577e-05,3.081e-05,1.789e-05,10,,,
Adaptive Window PINN,Vanilla,True,True,42,5.0,13.3541,2.086e-08,9.444e-05,1.299e-06,9.991e-07,591.6,3265,5.558e-05,0.0009144,0.0001444,12,,,
Adaptive Window PINN,Vanilla,True,True,42,10.0,21.9401,1.75e-06,0.0008134,2.627e-06,4.536e-06,853.3,3265,0.0003028,0.01295,0.001323,15,,,
Adaptive Window PINN,Vanilla,True,True,123,10.0,21.9401,3.081e-06,0.001079,6.539e-06,6.742e-06,845.2,3265,0.0003794,0.01983,0.001755,15,,,
Adaptive Window PINN,Vanilla,True,True,2026,10.0,21.9401,1.89e-06,0.0008454,6.724e-06,2.844e-05,805.6,3265,0.0003234,0.01711,0.001375,15,,,
