model,mu,n_seeds,mean,std,min,max,cv_pct
Adaptive Window PINN,0.1,1,2.506e-05,,2.506e-05,2.506e-05,
Adaptive Window PINN,1.0,1,1.383e-05,,1.383e-05,1.383e-05,
Adaptive Window PINN,5.0,1,9.444e-05,,9.444e-05,9.444e-05,
Adaptive Window PINN,10.0,3,0.0009126000000000001,0.0001449921377178777,0.0008134,0.001079,15.88780820927873
Adaptive Window PINN,20.0,3,0.005144333333333333,0.004443338872214602,0.001048,0.009868,86.37346346558547
Adaptive Window PINN,30.0,3,0.0038116666666666668,0.0001735002401535322,0.003617,0.00395,4.5518209047712865
Adaptive Window PINN,40.0,3,0.32709333333333335,0.5416204243133131,0.01279,0.9525,165.58589525313258
Adaptive Window PINN,50.0,3,0.7872666666666667,0.14464246725403063,0.6477,0.9365,18.372741204254886
Adaptive SIREN PINN,0.1,1,2.526e-05,,2.526e-05,2.526e-05,
Adaptive SIREN PINN,1.0,1,2.311e-05,,2.311e-05,2.311e-05,
Adaptive SIREN PINN,5.0,1,0.0001143,,0.0001143,0.0001143,
Adaptive SIREN PINN,10.0,3,0.012030933333333334,0.017777967133880444,0.0006888,0.03252,147.7688109585328
Adaptive SIREN PINN,20.0,3,0.51514,0.7005959140617365,0.09872,1.324,136.0010704006166
Adaptive SIREN PINN,30.0,3,0.9634,0.36414568513165163,0.5622,1.273,37.79797437530119
Adaptive SIREN PINN,40.0,3,1.5693333333333335,0.11360604444013243,1.44,1.653,7.2391277255819295
Adaptive SIREN PINN,50.0,3,3.333766666666667,4.377267202642915,0.1733,8.33,131.30094695618314
Adaptive Fourier Feature PINN,0.1,1,2.791e-05,,2.791e-05,2.791e-05,
Adaptive Fourier Feature PINN,1.0,1,2.535e-05,,2.535e-05,2.535e-05,
Adaptive Fourier Feature PINN,5.0,1,0.0001105,,0.0001105,0.0001105,
Adaptive Fourier Feature PINN,10.0,3,0.0013066666666666667,0.000375385579548993,0.001011,0.001729,28.72848823079028
Adaptive Fourier Feature PINN,20.0,3,0.010626000000000002,0.0024077433418036903,0.009078,0.0134,22.658981195216356
Adaptive Fourier Feature PINN,30.0,3,1.3618666666666666,0.5485072956062966,0.7286,1.688,40.27613782110069
Adaptive Fourier Feature PINN,40.0,3,1.4206666666666667,0.3983520218767987,1.083,1.86,28.039795064063725
Adaptive Fourier Feature PINN,50.0,3,1.5730000000000002,0.21379663234017507,1.338,1.756,13.591648591238084
